fname,text
PvPの有効時間について,PvPは毎週日曜の０時を境に集計され、その順位に応じて報酬がもらえます。例えば、PvPを土曜日の23時58分に始めて、決着がついたのが日曜の0時1分などの0時以降の場合、トロフィーは上下しないので気をつけましょう。決着は23時59分までにつくようにするのが良いです。
序盤の内に役立つ装備,序盤に役立つ装備は、ミネラル軽減・スキル抵抗がついたブーツや、スキル発動率・スキル回避率が上がるバッグや、その他、％表記でステータスが上がる星5以上の装備です。装備が揃っていないうちは使えるので置いておきましょう。また、星7以上の装備はとても貴重なので、たとえ使えないとしても、とりあえず置いておくのが良いです。
ガチャはいつ引けば良い？,ガチャはいつ引けばいいかと言うと、LINEレンジャーのガチャはキャラガチャと装備ガチャの２つがあります。キャラガチャに関しては、強いキャラがピックアップされている時、装備ガチャに関しては基本3000ルビー以上集まった時、そして装備ガチャならクリスマスが一番オススメです。なぜならハズレがないから。
装備のオプションについて,装備のオプションについては、スキル回避アップ、スキル抵抗アップ、ミネラル軽減などを足りない数値を補うようにつけるのが良いです。火力が足りないと感じるなら属性強化をつけるのがおすすめです。
一言アドバイス,スタンスキル持ちのキャラは強いので置いておくこと
光闇レンジャーのメリット・デメリット,光闇レンジャーのメリット・デメリットとしては、光闇レンジャーは強いが、超進化しかできず、レベル上限を上げづらい。コラボレンジャーなどは、ウルレナも使えて、レベル上限を上げやすい。
強いキャラの例,ロック、部長、冥界
初心者のうちは意外と使えるキャラの例,キノコサリー、創造神コニー、ワニ部長、シャンパンコニー、小学生コニーなど。
スキル反射について,スキル反射について、PvPではほとんど効果が見られません。なぜかは不明です。
広告無限ロードについて,装備を外す際、画面遷移を経ずに広告を連続で見ると、無限ロードに入り、動かなくなることがあるので注意しましょう。
レンジャーのスキル範囲はどうやって調べたら良い？,レンジャーのスキル範囲はどうやって調べたら良いかというと、有志の方の作成したLINEレンジャー解説書というサイトに載っているのでそれを調べましょう。
飛行レンジャーについて,飛行レンジャーについては、地上で負けては相手の迎撃レンジャーに迎撃されてしまうか、先にタワーを壊されてしまうので、初心者のうちは育成は後回しで良いと思います。ただ、初心者のうちは迎撃レンジャーを防衛に入れていない人もいたりするので、あえて入れるというのもありかもしれません。
飛行迎撃レンジャーについて,飛行迎撃レンジャーについては、光闇以外ではナイトサリーが強いです。
ガチャの周期,LINEレンジャーのガチャは周期的であり、1月：迎撃レンジャーの新キャラ＆光闇総ピックアップ、2月：何らかの作品とコラボ、3月：周年。光闇レンジャーの新キャラが出る、4月：コラボ、5月：光闇レンジャーの新キャラが出る＆過去の光闇レンジャーのピックアップ、6月：コラボ、7月：光闇レンジャーの新キャラ、8月：コラボ、9月：光闇レンジャーの新キャラ＆過去光闇レンジャーのピックアップ、10月：コラボ、11月：光闇レンジャー、12月：コラボ＆飛行レンジャーの新キャラの周期です。
ランイベントの紫色のタワーの毒ガスに対抗する方法,ランイベントの紫色のタワーの毒ガスに対抗する方法は、タイミングよくバリアを貼ることです。
グリーンエージェントサリーの強さ,グリーンエージェントサリーについては、無敵スキル解除のスキルを持っていないので、基本は弱いですが、大きなメリットとして、ミネラルが破格なぐらい安いです。まずは究極進化の状態でレベルマックスにして、超進化にチェンジ。そこから、再出動UP、スキル抵抗、スキル回避の装備をつけて使うのがおすすめです。
